mode,case,p1_MeV,T_gamma_MeV,target,category,quantity,total,support,domain,unsupported,corrected,kink,all_masks_exact,negative_M_T_in_route,cap,global_relative,global_scale,max_absolute,max_absolute_index,samples,worst_actual_bits,worst_expected_bits,worst_local_index,worst_local_relative
same_input,1,0.75,0.4,nu_e,elastic_plus,W_T,27648,27648,27648,0,0,0,True,7740,1e-07,6.272555561628089e-16,14.159753723561947,8.881784197001252e-15,27284,27648,402a8a6a49b0e927,402a8a6a49b0e92c,20896,8.907585132966509e-16
same_input,1,0.75,0.4,antinu_e,elastic_minus,M,27648,27648,27648,0,0,0,True,7740,1e-07,0.0,4.71047013514064e-15,0.0,0,27648,3b1d69644f42792b,3b1d69644f42792b,0,0.0
same_input,1,0.75,0.4,antinu_e,elastic_minus,M_T,27648,27648,27648,0,0,0,True,7740,1e-07,0.0,2.3547783480827426e-14,0.0,0,27648,3a9ccbbf243c0491,3a9ccbbf243c0491,0,0.0
same_input,1,0.75,0.4,antinu_e,elastic_minus,W,27648,27648,27648,0,0,0,True,7740,1e-07,1.56832579024848e-16,2.831613256705437,4.440892098500626e-16,27232,27648,4001501997d32067,4001501997d32068,14356,4.3996545180030203e-16
same_input,1,0.75,0.4,antinu_e,elastic_minus,W_T,27648,27648,27648,0,0,0,True,7740,1e-07,6.272555561628089e-16,14.159753723561947,8.881784197001252e-15,27284,27648,402a8a6a49b0e927,402a8a6a49b0e92c,20896,8.907585132966509e-16
same_input,1,0.75,0.4,antinu_e,elastic_plus,M,27648,27648,27648,0,0,0,True,7162,1e-07,0.0,4.779000528456878e-15,0.0,0,27648,3b85eadede9fcbc6,3b85eadede9fcbc6,0,0.0
same_input,1,0.75,0.4,antinu_e,elastic_plus,M_T,27648,27648,27648,0,0,0,True,7162,1e-07,0.0,2.389454643450591e-14,0.0,0,27648,3afc27fed8af7682,3afc27fed8af7682,0,0.0
same_input,1,0.75,0.4,antinu_e,elastic_plus,W,27648,27648,27648,0,0,0,True,7162,1e-07,1.56832579024848e-16,2.831613256705437,4.440892098500626e-16,27232,27648,4001501997d32067,4001501997d32068,14356,4.3996545180030203e-16
same_input,1,0.75,0.4,antinu_e,elastic_plus,W_T,27648,27648,27648,0,0,0,True,7162,1e-07,6.272555561628089e-16,14.159753723561947,8.881784197001252e-15,27284,27648,402a8a6a49b0e927,402a8a6a49b0e92c,20896,8.907585132966509e-16
same_input,1,0.75,0.4,nu_mu,elastic_minus,M,27648,27648,27648,0,0,0,True,7162,1e-07,0.0,1.0154400029712473e-15,0.0,0,27648,3b64bab90c1f239b,3b64bab90c1f239b,0,0.0
